 random-32-32-20-random-4.scen	5	 60, 128.00	70.72
 random-32-32-20-random-4.scen	5	 65, 135.00	63.67
 random-32-32-20-random-4.scen	5	 70, 161.00	73.59
 random-32-32-20-random-4.scen	5	 75, 176.00	88.78
 random-32-32-20-random-4.scen	5	 80, 197.00	171.27
 random-32-32-20-random-4.scen	5	 85, 184.00	225.50
 random-32-32-20-random-4.scen	5	 90, 108.00	180.63
 random-32-32-20-random-4.scen	5	 95, 133.00	112.84
 random-32-32-20-random-4.scen	5	 100, 140.00	173.86
 random-32-32-20-random-4.scen	5	 105, 208.00	219.60
 random-32-32-20-random-4.scen	5	 110, 168.00	273.55
 random-32-32-20-random-4.scen	5	 115, 169.00	75.49
 random-32-32-20-random-4.scen	5	 120, 119.00	44.71
 random-32-32-20-random-4.scen	5	 125, 145.00	66.77
 random-32-32-20-random-4.scen	5	 130, 144.00	59.50
 random-32-32-20-random-4.scen	5	 135, 175.00	84.62
 random-32-32-20-random-4.scen	5	 140, 187.00	86.38
 random-32-32-20-random-4.scen	5	 145, 205.00	101.06
 random-32-32-20-random-4.scen	5	 150, 220.00	111.97
 random-32-32-20-random-4.scen	5	 155, 167.00	82.34
 random-32-32-20-random-4.scen	5	 160, 184.00	94.06
 random-32-32-20-random-4.scen	5	 165, 259.00	163.20
 random-32-32-20-random-4.scen	5	 170, 260.00	159.44
 random-32-32-20-random-4.scen	5	 175, 450.00	280.24
 random-32-32-20-random-4.scen	5	 180, 584.00	410.44
 random-32-32-20-random-4.scen	5	 185, 543.00	362.70
 random-32-32-20-random-4.scen	5	 190, 621.00	436.60
 random-32-32-20-random-4.scen	5	 195, 1244.00	1053.62
 random-32-32-20-random-4.scen	5	 200, 915.00	720.44
s	 random-32-32-20-random-4.scen	10	 10, 221.00	19.58
 random-32-32-20-random-4.scen	10	 20, 330.00	42.08
 random-32-32-20-random-4.scen	10	 30, 935.00	370.79
